school_name,link,address,category,rating,last_report_date,urn
St Margaret's Church of England Primary School,/provider/21/100170,"St Margaret's Grove, Plumstead, London, SE18 7RL",Primary,Good,27 September 2023,100170
Bishop Ridley Church of England VA Primary School,/provider/21/134780,"Northumberland Avenue, Welling, Kent, DA16 2QE",Primary,Good,25 April 2024,134780
Christ Church (Erith) CofE Primary School,/provider/21/139212,"Lesney Park Road, Erith, Kent, DA8 3DG",Primary,Outstanding,18 November 2020,139212
Notre Dame Catholic Primary School,/provider/21/100179,"169 Eglinton Road, London, SE18 3SJ",Primary,Good,27 April 2023,100179
All Saints' Church of England Primary School Blackheath,/provider/21/100719,"2 Blackheath Vale, Blackheath, London, SE3 0TX",Primary,Good,15 November 2019,100719
Holy Family Catholic Primary School,/provider/21/100178,"Tudway Road, Kidbrooke, Greenwich, London, SE3 9YX",Primary,Requires Improvement,21 September 2022,100178
St Margaret's Lee CofE Primary School,/provider/21/100724,"Lee Church Street, St Margarets Lee Ce School, London, SE13 5SG",Primary,Outstanding,16 November 2020,100724
St Matthew Academy,/provider/28/135264,"St Joseph's Vale, Blackheath, London, SE3 0XX",Other schools,Good,28 November 2019,135264
"Trinity Church of England School, Lewisham",/provider/28/100749,"Taunton Road, London, SE12 8PD",Other schools,Good,13 December 2021,100749
St Thomas More Catholic Primary School,/provider/21/100176,"Appleton Road, Eltham, London, SE9 6NS",Primary,Good,29 January 2024,100176
St Saviour's Catholic Primary School,/provider/21/100733,"10 Bonfield Road, Lewisham, London, SE13 6AL",Primary,Good,10 December 2019,100733
St Winifred's RC Primary School,/provider/21/142456,"Newstead Road, Lee, London, SE12 0SJ",Primary,Good,28 June 2024,142456
St Mary's Lewisham Church of England Primary School,/provider/21/100730,"329 Lewisham High Street, London, SE13 6NX",Primary,Good,26 January 2022,100730
St Stephen's CofE Primary School,/provider/21/100734,"Albyn Road, Deptford, London, SE8 4ED",Primary,Good,21 September 2022,100734
"Christ Church Church of England Primary School, Shooters Hill",/provider/21/100166,"Shooters Hill, London, SE18 3RS",Primary,Good,19 December 2023,100166
Eltham Church of England Primary School,/provider/21/100167,"Roper Street, Eltham, London, SE9 1TR",Primary,Good,02 December 2022,100167
St Mary's Catholic Primary School,/provider/21/144091,"Glenure Road, Eltham, London, SE9 1UF",Primary,Outstanding,30 January 2023,144091
Holy Cross Catholic Primary School,/provider/21/100739,"Culverley Road, Catford, London, SE6 2LD",Primary,Outstanding,03 July 2023,100739
St James's Hatcham Church of England Primary School,/provider/21/100727,"St James's, New Cross, London, SE14 6AD",Primary,Good,29 June 2023,100727
St William of York Catholic Primary School,/provider/21/100737,"Brockley Park, Forest Hill, St. William of York School, London, SE23 1PS",Primary,Good,25 November 2022,100737
St Mary Magdalene Church of England Primary School,/provider/21/100836,"48 Brayards Road, London, SE15 3RA",Primary,Requires Improvement,27 June 2024,100836
St George's CofE Primary School,/provider/21/145621,"Perry Vale, Forest Hill, London, SE23 2NE",Primary,,14 March 2022,145621
St John's and St Clement's Church of England Primary School,/provider/21/100830,"Adys Road, Peckham, London, SE15 4DY",Primary,Good,02 August 2023,100830
St Anthony's Catholic Primary School,/provider/21/150551,"Etherow Street, Dulwich, London, SE22 0LA",Primary,,08 May 2024,150551
Holy Trinity Church of England Primary School,/provider/21/100723,"Dartmouth Road, Forest Hill, London, SE23 3HZ",Primary,Good,29 April 2024,100723
St Michael's Church of England Primary School,/provider/21/100731,"Champion Road, Sydenham, London, SE26 4HH",Primary,Good,12 May 2020,100731
St Bartholomews's Church of England Primary School,/provider/21/100726,"The Peak, Sydenham, London, SE26 4LJ",Primary,Good,29 September 2023,100726
Our Lady and St Philip Neri Catholic Primary School,/provider/21/150552,"208 Sydenham Road, London, SE26 5SE",Primary,,06 April 2024,150552
St John Baptist Southend Church of England Primary School,/provider/21/100728,"Beachborough Road, Bromley, Kent, BR1 5RL",Primary,Good,02 March 2020,100728
Dulwich Village Church of England Infants' School,/provider/21/100823,"Dulwich Village, London, SE21 7AL",Primary,Outstanding,24 November 2023,100823
St Saviour's Church of England Primary School,/provider/21/100620,"Herne Hill Road, London, SE24 0AY",Primary,Good,14 March 2019,100620
St Helen's Catholic Primary School,/provider/21/100623,"Knowle Close, Brixton, London, SW9 0TQ",Primary,Good,05 November 2018,100623
St Andrew's Church of England Primary School,/provider/21/100613,"Kay Road, Stockwell, London, SW9 9DE",Primary,Good,01 July 2024,100613
St Jude's Church of England Primary School,/provider/21/100616,"Regent Road, Herne Hill, London, SE24 0EL",Primary,Good,08 March 2023,100616
Corpus Christi Catholic Primary School,/provider/21/137295,"Trent Road, Lambeth, Corpus Christi Primary School, London, SW2 5BL",Primary,Outstanding,14 June 2024,137295
Iqra Primary School,/provider/21/135614,"127 Park Hill, Off Clarence Avenue, Clapham, London, SW4 9PA",Primary,Outstanding,12 July 2024,135614
Holy Trinity Church of England Primary School,/provider/21/100622,"Upper Tulse Hill, Lambeth, London, SW2 2RL",Primary,Requires Improvement,29 September 2023,100622
St Mary's Roman Catholic Primary School,/provider/21/100636,"Crescent Lane, Clapham, London, SW4 9QJ",Primary,Outstanding,12 December 2014,100636
The Orchard School,/provider/21/134507,"Christchurch Road, London, SW2 3ES",Primary,Outstanding,21 June 2019,134507
"Christ Church, Streatham Church of England Primary School",/provider/21/145614,"Cotherstone Road, Streatham, London, SW2 3NF",Primary,,10 May 2022,145614
St Augustine's Catholic Primary School and Nursery,/provider/21/100725,"Dunfield Road, London, SE6 3RD",Primary,Good,07 May 2024,100725
Good Shepherd RC School,/provider/21/100722,"Moorside Road, Downham, Bromley, Kent, BR1 5EP",Primary,Good,17 March 2020,100722
St Mary's Catholic Primary School,/provider/21/141535,"Westgate Road, Beckenham, Kent, BR3 5DE",Primary,Outstanding,19 July 2024,141535
Parish Church of England Primary School,/provider/21/139984,"London Lane, Bromley, Kent, BR1 4HF",Primary,Good,01 February 2024,139984
St John's Church of England Primary School,/provider/21/140648,"Maple Road, Penge, London, SE20 8HU",Primary,Good,23 July 2019,140648
St Vincent's Catholic Primary School,/provider/21/141481,"Harting Road, Mottingham, London, SE9 4JR",Primary,Good,25 January 2022,141481
Our Lady of the Rosary Catholic Primary School,/provider/21/101456,"Holbeach Gardens, Blackfen, Sidcup, Kent, DA15 8QW",Primary,Good,11 February 2020,101456
Holy Trinity Lamorbey Church of England School,/provider/21/142229,"Burnt Oak Lane, Sidcup, Kent, DA15 9DB",Primary,Good,14 November 2023,142229
Darul Uloom School,/provider/1/SC006927,"Darul Uloom, Foxbury Avenue, CHISLEHURST, Kent, BR7 6SD",Boarding School,,01 April 2023,SC006927
St Nicholas Church of England Primary,/provider/21/141529,"School Road, Chislehurst, Kent, BR7 5PQ",Primary,,18 September 2023,141529
St Joseph's Catholic Primary School,/provider/21/141566,"Plaistow Lane, Bromley, Kent, BR1 3JQ",Primary,,27 April 2023,141566
All Saints CofE Primary School,/provider/21/101787,"Upper Beulah Hill, Upper Norwood, London, SE19 3LG",Primary,Good,04 March 2019,101787
St Joseph's RC Junior School,/provider/21/101795,"Woodend, Select, SE19 3NU",Primary,Outstanding,23 July 2018,101795
St Joseph's RC Infant School,/provider/21/101803,"Crown Dale, Upper Norwood, London, SE19 3NX",Primary,Good,31 January 2019,101803
St Cyprian's Greek Orthodox Primary Academy,/provider/21/138335,"Springfield Road, Thornton Heath, Surrey, CR7 8DZ",Primary,Requires Improvement,19 July 2024,138335
St Luke's Church of England Primary School,/provider/21/145616,"Linton Grove, West Norwood, London, SE27 0DZ",Primary,Good,07 July 2023,145616
St James the Great RC Primary and Nursery School,/provider/21/137959,"St. James The Great School, Windsor Road, Thornton Heath, Surrey, CR7 8HJ",Primary,Outstanding,06 December 2023,137959
St Mark's Church of England Primary Academy,/provider/21/141119,"Albert Road, South Norwood, London, SE25 4JD",Primary,Good,12 May 2023,141119
St Chad's Catholic Primary School,/provider/21/142731,"Alverston Gardens, South Norwood, London, SE25 6LR",Primary,,15 March 2024,142731
St Andrew's Catholic Primary School,/provider/21/100632,"Polworth Road, Streatham, London, SW16 2ET",Primary,Outstanding,06 March 2014,100632
Immanuel and St Andrew Church of England Primary School,/provider/21/100633,"Northanger Road, Streatham, London, SW16 5SL",Primary,Outstanding,07 December 2020,100633
St Thomas Becket Catholic Primary School,/provider/21/138612,"Becket Close, Birchanger Road, South Norwood, London, SE25 5BN",Primary,Good,01 August 2022,138612
St Leonard's Church of England Primary School,/provider/21/145615,"42 Mitcham Lane, Streatham, London, SW16 6NP",Primary,,04 July 2022,145615
St Bede's Catholic Infant School,/provider/21/100631,"Thornton Road, Clapham Park, London, SW12 0LF",Primary,Good,12 May 2023,100631
St Bernadette Catholic Junior School,/provider/21/100628,"1 - 4 Atkins Road, Clapham Park, London, SW12 0AB",Primary,Good,03 July 2023,100628
Macaulay Church of England Primary School,/provider/21/100612,"Victoria Rise, Clapham, SW4 0NU",Primary,Good,02 February 2024,100612
St. Mary's Catholic Junior School,/provider/21/142226,"Sydenham Road, Croydon, Surrey, CR0 2EW",Primary,Good,17 October 2023,142226.0
St Mary's Catholic Infant School,/provider/21/142246,"Bedford Park, Croydon, Surrey, CR0 2AQ",Primary,Good,28 November 2022,142246.0
St John's CofE Primary School,/provider/21/101788,"Spring Park Road, Shirley, Croydon, Surrey, CR0 5EL",Primary,Outstanding,15 November 2021,101788.0
Krishna Avanti Primary School,/provider/21/142861,"Southbridge Place, Croydon, CR0 4HA",Primary,Good,12 June 2019,142861.0
The Minster Junior School,/provider/21/149113,"Warrington Road, Croydon, Surrey, CR0 4BH",Primary,,,
The Minster Nursery and Infants Church of England Academy,/provider/21/149114,"Warrington Road, Croydon, Surrey, CR0 4BH",Primary,,08 September 2022,149114.0
St Anselm's Catholic Primary School,/provider/21/101052,"Louisville Road, London, SW17 8RW",Primary,Outstanding,10 November 2023,101052
Trinity St Mary's CofE Primary School,/provider/21/101047,"6 Balham Park Road, London, SW12 8DR",Primary,Good,20 March 2024,101047
Goresbrook School,/provider/28/140962,"Cook Road, Dagenham, Essex, RM9 6XW",Other schools,Good,10 July 2019,140962
St Philip's School,/provider/27/100516,"6 Wetherby Place, London, SW7 4NE",Independent School,Good,13 May 2022,100516
Servite RC Primary School,/provider/21/100500,"252 Fulham Road, London, SW10 9NA",Primary,Outstanding,01 February 2022,100500
"Sacred Heart Catholic Primary School, Battersea",/provider/21/131520,"Este Road, London, SW11 2TD",Primary,Good,27 September 2023,131520
Christ Church CofE Primary School,/provider/21/101035,"Batten Street, Battersea, London, SW11 2TH",Primary,Requires Improvement,13 March 2024,101035
St Cuthbert with St Matthias CofE Primary School,/provider/21/100498,"Warwick Road, Earls Court, London, SW5 9UE",Primary,Good,14 January 2022,100498
Thames Christian School,/provider/27/132237,"12 Grant Road, London, SW11 2FR",Independent School,Good,20 May 2010,132237
St Barnabas and St Philip's CofE Primary School,/provider/21/100493,"58 Earls Court Road, Kensington, London, W8 6EJ",Primary,Good,12 June 2024,100493
Holy Ghost Catholic Primary School,/provider/21/101036,"Nightingale Square, Balham, London, SW12 8QJ",Primary,Outstanding,18 November 2013,101036
Dolphin School (Incorporating Noahs Ark Nursery Schools),/provider/27/101084,"106 Northcote Road, Battersea, London, SW11 6QW",Independent School,Good,01 April 2011,101084
Gatton (VA) Primary School,/provider/21/134041,"13e Broadwater Rd, Tooting, London, SW17 0DS",Primary,Outstanding,20 March 2014,134041
St Boniface RC Primary School,/provider/21/101042,"Undine Street, Tooting, London, SW17 8PP",Primary,Good,20 January 2022,101042
Holy Cross RC School,/provider/21/100345,"Basuto Road, London, SW6 4BL",Primary,Good,10 July 2019,100345
St Augustine's RC Primary School,/provider/21/150082,"Disbrowe Road, London, W6 8QE",Primary,,06 April 2024,150082
St John's Walham Green Church of England Primary School,/provider/21/100349,"Filmer Road, Fulham, London, SW6 6AS",Primary,Outstanding,26 June 2024,100349
St Mary's Catholic Primary School,/provider/21/100350,"Masbro Road, London, W14 0LT",Primary,Good,10 June 2024,100350
St Faith's CofE Primary School,/provider/21/101043,"Alma Road, East Hill, London, SW18 1AE",Primary,Good,04 April 2019,101043
Larmenier & Sacred Heart Catholic Primary School,/provider/21/134009,"41a Brook Green, Hammersmith, London, W6 7BL",Primary,Outstanding,24 November 2020,134009
St Anne's CofE Primary School,/provider/21/101041,"208 St Ann's Hill, Wandsworth, London, SW18 2RU",Primary,Good,27 April 2023,101041
St Paul's CofE Primary School,/provider/21/100351,"Worlidge Street, London, W6 9BP",Primary,Outstanding,20 May 2015,100351
All Saints CofE Primary School,/provider/21/100344,"Bishops Avenue, Fulham, London, SW6 6ED",Primary,Good,05 December 2019,100344
St Stephen's CofE Primary School,/provider/21/100353,"Uxbridge Road, London, W12 8LH",Primary,Outstanding,12 December 2023,100353
St Peter's Primary School,/provider/21/100352,"33 St Peter's Road, Hammersmith, London, W6 9BA",Primary,Outstanding,27 April 2023,100352
St Mary's CofE Primary School,/provider/21/101046,"Felsham Road, Putney, St. Mary's Ce Primary School, London, SW15 1BA",Primary,Good,03 February 2022,101046
"All Saints' CofE Primary School, Putney",/provider/21/101034,"Putney Common, Putney, London, SW15 1HL",Primary,Good,07 December 2022,101034
St Joseph's Catholic Primary and Nursery School,/provider/21/101045,"90 Oakhill Road, London, SW15 2QD",Primary,Good,06 June 2019,101045
Our Lady of Victories Catholic Primary School,/provider/21/101037,"1 Clarendon Drive, London, SW15 1AW",Primary,Good,11 May 2022,101037
Good Shepherd RC Primary School,/provider/21/100354,"35 Gayford Road, London, W12 9BY",Primary,Outstanding,06 May 2014,100354
St Michael's CofE Primary School,/provider/21/101049,"Granville Road, Southfields, London, SW18 5SQ",Primary,Good,21 September 2022,101049
St Osmund's Catholic Primary School,/provider/21/102919,"Church Road, Barnes, London, SW13 9HQ",Primary,Good,21 January 2021,102919
Our Lady Queen of Heaven RC School,/provider/21/101051,"Victoria Drive, Southfields, London, SW19 6AD",Primary,Outstanding,29 January 2024,101051
"Sacred Heart Catholic Primary School, Roehampton",/provider/21/101050,"Roehampton Lane, Roehampton, London, SW15 5NX",Primary,Good,11 July 2023,101050
Roehampton CofE Primary School,/provider/21/101038,"245 Roehampton Lane, Roehampton, London, SW15 4AA",Primary,Good,19 July 2023,101038
Mosaic Jewish Primary School,/provider/21/139687,"170 Roehampton Lane, Roehampton, London, SW15 4EU",Primary,Outstanding,07 September 2015,139687
The Priory CofE School,/provider/21/102672,"Queens Road, Wimbledon, London, SW19 8LX",Primary,Good,06 March 2023,102672
All Saints' CofE Primary School,/provider/21/102663,"3 - 19 Hanover Road, London, SW19 1EB",Primary,Good,04 November 2019,102663
Holy Trinity CofE Primary School,/provider/21/102665,"Effra Road, Wimbledon, London, SW19 8PW",Primary,Outstanding,27 March 2013,102665
"St Mary's Catholic Primary School ,Chiswick",/provider/21/102529,"Duke Road, Chiswick, London, W4 2DF",Primary,Good,03 October 2023,102529
St Mary Magdalen's Catholic Primary School,/provider/21/102909,"Worple Street, London, SW14 8HE",Primary,Good,27 June 2024,102909
The King's Church of England Primary School,/provider/21/102921,"Cumberland Road, Kew, Richmond, Surrey, TW9 3HJ",Primary,Outstanding,29 March 2023,102921
Holy Trinity Church of England Primary School,/provider/21/102908,"Carrington Road, Richmond, Surrey, TW10 5AA",Primary,Outstanding,08 September 2015,102908
St Elizabeth's Catholic Primary School,/provider/21/102910,"Queen's Road, Richmond, Surrey, TW10 6HN",Primary,Outstanding,24 January 2024,102910
St Paul's CofE Primary School,/provider/21/102524,"St Paul's Road, Brentford, TW8 0PN",Primary,Good,28 September 2022,102524
St Stephen's C E Primary School,/provider/21/102915,"Winchester Road, Twickenham, TW1 1LF",Primary,Good,26 March 2024,102915
Bishop Gilpin CofE Primary School,/provider/21/102666,"Lake Road, Wimbledon, SW19 7EP",Primary,Outstanding,14 January 2020,102666
St Thomas of Canterbury Catholic Primary School,/provider/21/133774,"53 Commonside East, Mitcham, Surrey, CR4 1YG",Primary,Good,19 June 2023,133774
St Peter and Paul Catholic Primary School,/provider/21/102667,"Cricket Green, Mitcham, Surrey, CR4 4LA",Primary,Good,17 May 2023,102667
St Mary's Catholic Primary School,/provider/21/102670,"Russell Road, Wimbledon, London, SW19 1QL",Primary,Good,09 March 2022,102670
St Matthew's CofE Primary School,/provider/21/102664,"Cottenham Park Road, London, SW20 0SX",Primary,Good,19 May 2023,102664
St John Fisher RC Primary School,/provider/21/102671,"Grand Drive, London, SW20 9NA",Primary,Good,16 June 2023,102671
Sacred Heart Catholic Primary School,/provider/21/102668,"Burlington Road, New Malden, Surrey, KT3 4ND",Primary,Good,19 May 2023,102668
Christ Church New Malden CofE Primary School,/provider/21/102585,"Elm Road, New Malden, KT3 3HN",Primary,Good,23 November 2022,102585
Corpus Christi Catholic Primary School,/provider/21/102594,"Chestnut Grove, New Malden, Surrey, KT3 3JU",Primary,Good,04 April 2018,102594
St Cecilia's Catholic Primary School,/provider/21/102993,"London Road, North Cheam, Sutton, Surrey, SM3 9DL",Primary,Outstanding,24 January 2024,102993
St Teresa's Catholic Primary School,/provider/21/102669,"Montacute Road, Morden, Surrey, SM4 6RL",Primary,Good,27 September 2022,102669
Malden Parochial CofE Primary School,/provider/21/102587,"The Manor Drive, Worcester Park, Surrey, KT4 7LW",Primary,Good,23 May 2022,102587
Christ the Saviour Church of England Primary School,/provider/21/136445,"1 Springbridge Road, Ealing Broadway, Ealing, London, W5 2AA",Primary,Good,14 March 2024,136445
St Gregory's Catholic Primary School,/provider/21/101923,"Woodfield Road, Ealing, London, W5 1SL",Primary,Good,02 August 2022,101923
Mount Carmel Catholic Primary School,/provider/21/101919,"Little Ealing Lane, Ealing, London, W5 4EA",Primary,Good,25 June 2024,101919
Our Lady and St John's Catholic Primary School,/provider/21/102526,"Boston Park Road, Brentford, Middlesex, TW8 9JF",Primary,Good,04 July 2024,102526
St Joseph's Catholic Primary School,/provider/21/101924,"York Avenue, Hanwell, London, W7 3HU",Primary,Good,29 April 2022,101924
St John Fisher Catholic Primary School,/provider/21/101921,"Sarsfield Road, Perivale, Greenford, Middlesex, UB6 7AF",Primary,Good,03 February 2023,101921
Nishkam School West London,/provider/28/139720,"152 Syon Lane, Osterley, TW7 5PN",Other schools,Outstanding,18 March 2024,139720
Our Lady of the Visitation Catholic Primary School,/provider/21/101920,"Greenford Road, Greenford, UB6 9AN",Primary,Good,06 December 2022,101920
The Edward Betham Church of England Primary School,/provider/21/101927,"Oldfield Lane South, Greenford, UB6 9JU",Primary,Good,10 June 2024,101927
St Mary's Church of England Primary Norwood Green,/provider/21/140963,"26 Tentelow Lane, Norwood Green, Southall, Middlesex, UB2 4LE",Primary,Good,21 November 2022,140963
Khalsa Primary School,/provider/21/135482,"Norwood Green Road, Southall, UB2 4LA",Primary,Good,13 November 2023,135482
St Anselm's Catholic Primary School,/provider/21/101922,"Church Avenue, Southall, UB2 4DH",Primary,Good,09 January 2020,101922
The Rosary Catholic Primary School,/provider/21/135261,"10 The Green, Heston, Hounslow, Middlesex, TW5 0RL",Primary,Good,11 December 2023,135261
